procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0 3132096 210924 14956 1235912   1    4   133   122  935    2  2  1 97  0  0  0
 5  0 3131840 211664 14960 1236436   0    0   224     0 3564 8494  6  2 92  0  0  0
 0  0 3131584 200872 14968 1233196   0    0   116   128 3114 6598  5  3 92  0  0  0
 0  0 3130048 201204 14972 1233440   0    0     4     0 1914 2896  1  2 97  0  0  0
 0  0 3130048 198840 14972 1233424   0    0     0     0 2074 3117  2  2 96  0  0  0
 0  0 3129536 162456 15004 1240964   0    0     0  1728 3196 6897  6  3 91  1  0  0
 1  0 3139756 219936 14600 1236620   0   80     4    80 3350 5951  3  3 94  0  0  0
 1  0 3139500 208660 14600 1232268   0    0     0     0 1862 2722  4  1 95  0  0  0
 0  0 3139244 228556 14600 1229204   0    0     0     0 5241 3187 11  2 87  0  0  0
 0  0 3138988 231592 14600 1229232   0    0    20     0 1598 2464  1  1 97  1  0  0
 0  0 3138988 229168 14600 1229224   0    0     0     0 1966 2974  1  1 97  0  0  0
 0  0 3138988 251948 14608 1229224   0    0     0   116 1949 3868  3  1 96  0  0  0
 0  0 3138732 230084 14608 1236020   0    0   824     0 3652 7097  3  1 96  0  0  0
 0  0 3138476 201452 14776 1234416   0    0   312   660 2997 5755  3  2 95  0  0  0
 0  0 3137708 211124 14784 1230452   0    0   144   104 2253 3453  2  2 97  0  0  0
